呵	口可:kk
𧺺	.:zb｜走丶:zd
𧿏	足丶:zd
𨊹	車巴:ib
𩃴	.:yc｜雨月:yo
𩊤	.:gb｜革丶:gd
𩖣	風文:fw｜文風:wf
𩖽	風皮:fp
𩚥	飠巴:ub
𩡩	馬八:mb
𩨜	骨巴:gb
𩹏	鮊犬:bq
𩽷	魚霸:yb
呗	口贝:kb
唄	口貝:kb
擺	扌罷:fb｜扌能:fn
敗	攵貝:wb
擘	手辟:ub｜手辛:ux
拝	扌丰:ff
栢	木百:mb
粨	米百:mb
粺	米卑:mb
韛	韋用:wy
猈	犭卑:qb
襬	衤罷:yb｜衤能:yn
㓦	刂百:db
㗑	口拜:kb
㗗	.:bb｜另卑:lb
㠔	.:ub
㧳	手扮:ub
㼟	瓦白:wb
㼣	瓦百:wb
㿟	白白:bb
䒔	艹八:cb
䙓	衤罢:yb
䢙	辶貝:zb
䳆	鳥白:nb
䴽	麥卑:mb
庍	广斤:gj
挀	扌𠂢:fp
瓸	瓦百:wb
竡	立百:lb
絔	糸百:sb
薭	艹稗:cb
贁	貝攵:bw｜攵貝:wb
𠟻	.:db｜貝刂:bd
𠫛	厶厶:ss
𠮠	口勹:kg
𡏯	土敗:tb
𡭢	小木:xm
𢈕	广丿:gp
𢛞	忄卑:xb
𣧙	歹手:du
𤁣	氵罷:db
𤙅	牛布:nb
𤽹	白卑:bb
𥬝	竹白:vb
𦣺	.:zu
𦩋	舟非:vf
𦳞	艹拜:cb
𨃅	足拜:zb
𩋂	革非:gf
𩎻	韋非:wf
𩏞	韋累:wl
𩑢	頁不:yb｜不頁:by
辦	力辛:lx｜辛辛:xx
闆	門品:mp
粄	米反:mf
跘	足半:zb
絆	糸半:sb
頒	頁分:yf
肦	月分:of
舨	舟反:vf
蝂	虫版:ib
搫	手般:ub
怑	忄半:xb
朌	月分:of
姅	女半:nb
鳻	鳥分:nf
鈑	金反:jf
鉡	金半:jb
㚘	夫夫:ff
㩯	扌繁:ff
㪵	斗半:db
㸞	片片:pp
䉽	米半:mb
䕰	艹燔:cf
䬳	飠半:ub
坢	土半:tb
岅	山反:uf
斒	文扁:wb
瓪	瓦反:wf
秚	禾半:hb
螁	虫退:it
螌	虫般:ib
褩	衣般:yb
辬	.:wx｜.:xx
魬	魚反:yf
𠔯	.:bp｜八夫:bf
𠚼	.:df
𠦒	.:uy｜.:ay
𠧫	卜夂:bw
𠯘	口反:kf
𠺚	口班:kb
𡯘	.:wf｜尤反:yf
𢲔	扌班:fb
𢴬	扌斑:fb
𣪂	殳丹:ud
𤡰	犭斑:qb
𤦦	玢王:bw
𤫫	瓜分:gf｜分瓜:fg
𤳖	番去:fq
𥷁	竹辦:vb
𥹓	米去:mq
𦎊	.:ym｜羊八:yb
𦙹	月乂:oi
𦝤	月並:ob
𧇥	虎林:hl
𧌿	版虫:bi
𨐦	辛風:xf
𨐱	辛辛:xx
𨐾	辛辛:xx
𩔮	頁班:yb｜班頁:by
𩢔	馬半:mb
𩭧	髟卑:ib
𩿉	鳥分:nf
𪄕	班鳥:bn｜鳥班:nb
𪒋	黑般:hb
旁	亠方:wf｜立方:lf
彭	彡豆:pd｜士彡:up
幫	帛封:bf｜巾封:jf
髈	骨旁:gp
綁	糸邦:sb
棓	木口:mk｜木咅:mp
牓	片旁:pp
蜯	虫奉:if
艕	舟旁:vp
蚄	虫方:if
鎊	金旁:jp
㔙	力并:lb
㭋	木丰:mf
㮄	.:mp
㯁	木陪:mp
㾦	.:bp
䂜	石丰:uf
䎧	.:lp
䖫	虫干:ig
䟺	足貝:zb
䧛	阝旁:ep
䰷	魚丰:yf
垹	土邦:tb
幇	巾封:jf
幚	邦帛:bb｜.:jb
挷	扌邦:fb
捠	扌兵:fb
硥	.:ul｜石尨:um
稖	禾口:hk｜.:hp
縍	糸旁:sp
蛖	虫尨:il｜虫尨:im
謗	言旁:yp
邫	.:fb｜丰邑:fy
鞤	革封:gf
𠨵	厂丰:if
𠬣	.:yy
𡽲	山榜:ub
𢁏	.:jg
𢄎	巾旁:jp
𢜗	心奉:xf
𢪋	扌丰:ff
𢮏	.:up
𢶶	扌意:fy
𢸌	扌帛:fb
𣘙	木部:mb
𣮡	毛奔:mb
𣮧	毛並:mb｜並毛:bm
𤚰	牛旁:np
𤱵	火田:ht｜田二:te
𥀂	皮封:pf｜封皮:fp
𦰥	艹邦:cb
𦾭	.:cb
𨢐	酉旁:yp
𩋮	革封:gf
𩍗	.:gm｜革方:gf
𩦠	馬剽:mp
𩮗	.:ib
報	卩幸:ex｜土又:ty｜幸又:xy
寶	宀貝:bb
寳	宀貝:bb
飽	食包:ub
铇	金包:jb
剝	刂录:dl
勹	.:gb｜.:pg
骲	骨包:gb
媬	女保:nb
襃	亠{衣}:wy｜衣呆:yd
鉋	金包:jb
駂	馬十:mu
鑤	金暴:jb
寚	宀缶:bf
怉	忄包:xb
犦	牛暴:nb
虣	虎武:hw
裦	亠{衣}:wy｜衣矛:ym
鴇	鳥十:nu
㙅	土呆:td
㙸	土僕:tp
㫧	日米:om
㲏	毛片:mp
㲒	毛句:mj
㵡	氵雹:db
㻄	.:wd
㿺	皮暴:pb
䈏	竹田:vt
䎂	羽包:yb
䤖	酉暴:yb
䥤	金雹:jb
䨌	雨元:yy
䨔	雨光:yg
䪨	音勺:yu
䭋	飠保:ub
䳈	鳥包:nb
䳰	鳥保:nb
䴐	鳥寶:nb
佨	亻包:rb
儤	亻暴:rb
勽	勹人:gr
嚗	口暴:kb
堢	土保:tb
宲	宀呆:bd
忁	彳氺:xu
曓	.:ob
犳	犭勺:qu
珤	王缶:wf
窇	穴包:xb｜.:bb
笣	竹包:vb
緥	糸保:sb
菢	艹抱:cb
蕔	艹報:cb
藵	艹衣:cy
蚫	虫包:ib
袌	亠{衣}:wy｜衣包:yb
賲	保貝:bb
闁	門門:mm
靌	雨貝:yb
飹	飠卯:um
髱	髟包:ib
鮑	魚包:yb
鳵	鳥十:nu｜.:nx
齙	齒包:ib
𠅬	.:ww
𠣒	勹仁:gr
𠣺	勹巳:gs｜冫包:db
𠤏	匕十:bu
𠹕	口豹:kb
𡂟	.:cb｜品包:pb｜口包:kb
𡉩	土犬:tq
𡧖	宀八:bb
𡶄	山包:ub
𢼌	.:wb｜攴包:pb｜包攴:bp
𣋳	.:ob｜日灬:oh
𣭀	毛包:mb
𤔣	爫叟:vs
𤝧	.:qv
𤞥	犭呆:qd
𤿈	皮勺:pu
𥄹	目包:ob
𥭓	灼:vv
𦡕	月雹:ob
𦢊	月暴:ob
𧘑	衤勺:yu
𧝘	衤裒:yp｜.:yy
𧭤	言暴:yb
𧵢	貝包:bb
𨇅	足暴:zb
𨚔	.:eb｜包阝:be
𨠖	酉包:yb
𨰦	金貝:jb
𨰻	.:pp｜金金:jj
𩊅	革卯:gm
𩍂	革陶:gt
𩛞	食孚:uf
𩬽	镸木:im
𩭼	髟保:ib
𩾡	鳥勺:nu
𩿓	鳥牛:nn
𪏶	黍包:ub
勃	力孛:lb｜力子:lz
輩	車非:if｜非車:fi
貝	丨丶:ad｜目八:ob
備	亻用:ry
盃	不皿:bm｜皿不:mb
庳	广卑:gb
苝	艹北:cb
鞞	革卑:gb
杮	木巿:mf｜木巾:mj
揹	扌背:fb
柸	木丕:mp
軰	車北:ib
骳	骨皮:gp
桮	木否:mf
鉳	金北:jb
俻	亻备:rb
偹	.:rb
諀	言卑:yb
箄	𥫗卑:vb
鋇	金貝:jb
㓈	冫石:du
㔨	勹背:gb
㛝	女貝:nb
㣁	弓用:gy
㤳	忄否:xf
㰆	.:ma
㶔	.:db
㷶	備灬:bh
㸢	片用:py
㸬	.:nu
㸽	牛貝:nb
㻗	.:yf
㼎	瓜交:gj
㽡	田卑:tb
㾱	.:bf
䁅	目孟:om
䋳	糸背:sb
䔒	艹陪:cp
䠙	足旁:zp
䡶	.:ib
䩀	非貝:fb
䰽	.:yu
偝	亻背:rb
僃	亻用:ry
愂	心勃:xb
憊	心備:xb
昁	.:of｜.:oj
梖	木貝:mb
棑	木非:mf
牬	.:nz
犕	牛用:ny
狽	犭貝:qb
珼	王貝:wb
禙	示背:ub
藣	艹罷:cb｜艹能:cn
蛽	虫貝:ib
誖	言孛:yb｜言子:yz
郥	耳貝:eb
鄁	耳背:eb
鵯	鳥卑:nb
𠋭	亻口:rk
𠐡	亻輩:rb
𠢥	力費:lf｜費力:fl
𡋭	土冖:tb｜北土:bt
𡥞	子冖:zb
𡰯	尸巾:uj
𢂏	.:uu｜十冂:uk
𢃍	巾卑:jb
𢴾	扌悲:fb
𢻵	.:wu｜十攴:up｜攴冂:pk
𣎵	.:ir｜凵人:kr｜屮人:cr
𣖾	木用:my
𣝁	木卑:mb
𣬍	比苗:bm｜苗比:mb
𣬪	.:mu｜毛冂:mk｜十毛:um
𤜲	.:qu｜犬冂:qk｜十犬:uq
𤰈	用勹:yg
𤳦	.:ld｜田大:td
𤵛	疒丕:bp
𤷁	疒土:bt
𤷒	疒卑:bb
𤹲	.:bg
𤿒	皮内:pn
𤿾	皮卑:pb｜卑皮:bp
𥏓	.:ug｜矢廾:uc
𥶓	𥫗罷:vb
𦈧	缶不:fb
𦈶	缶否:ff
𦩖	舟卑:vb
𦮷	艹貝:cb
𦾙	艹十:cu
𧉥	虫北:ib｜北虫:bi
𧋲	.:wb｜亠虫:wi｜虫北:ib
𧶙	北負:bf
𧼠	走卑:zb
𨚍	.:eb｜比阝:be
𩇩	非大:fd｜大非:df
𩔹	.:yp｜頁卑:yb｜卑頁:by
𩖠	風女:fn
𩚾	食北:ub｜北食:bu
夲	大十:du
漰	氵崩:db
喯	口奔:kb
炃	火分:hf
坋	土分:tf
奙	.:sd｜厶奄:sy
泍	氵本:db
渀	氵奔:db
錛	金奔:jb
㡷	.:gb
㤓	忄本:xb
㨧	扌畚:fb
㮺	.:bl
㱵	.:dp
䬱	食本:ub
捹	扌奔:fb
撪	.:ff｜扌車:fi
桳	木十:mu
楍	木口:mk
翉	羽本:yb
蟦	虫賁:ib
賁	貝卉:bh
逩	辶奔:zb
𡗢	.:dk
𡗲	大斤:dj
𣄏	方畚:fb
𣳰	氵十:du
𣴞	氵坌:db
𥢊	.:hp｜禾賁:hb
𦯀	艹坌:cb
𨋒	車弁:ib
𩣺	馬奔:mb
𩰶	鬲亥:gh
𪊜	鹿本:lb
𪎝	麻本:mb
𪑖	黑奔:hb
繃	糸崩:sb
嗙	口旁:kp
綳	糸朋:sp
菶	艹奉:cf
琣	王口:wk｜王咅:wp
堋	土朋:tp
伻	亻平:rp
塴	土崩:tb
埄	土丰:tf
揼	扌泵:fb
甮	勿用:wy
鏰	金崩:jb
㑟	亻兵:rb
㱶	歹彭:dp
㷯	火奉:hf
䋽	糸封:sf
䙀	衤朋:yp
䨻	雷雷:ll
䩬	革奉:gf
䭰	香奉:xf
䳞	鳥奉:nf
埲	土奉:tf
奟	大朋:dp
嵭	山旁:up
痭	疒朋:bp
絣	糸并:sb
跰	足并:zb
逬	辶并:zb
閍	門方:mf
鞛	革口:gk｜.:gp
𠜳	.:dp
𠡮	.:lp
𡎾	土朋:tp
𡡈	女崩:nb
𡶤	.:yu
𡾛	山并:ub
𢆸	幺幺:yy
𢉁	广朋:gp
𢏳	弓并:gb
𢐒	弓崩:gb
𣂤	.:jp｜斤月:jo｜月斤:oj
𣨥	歹朋:dp
𤙾	牛并:nb
𤡭	犭彭:qp
𤫬	瓜丰:gf
𥖗	吉石:ju｜石殳:uu
𥛱	示彭:up
𥞩	禾并:hb
𥦜	穴朋:xp
𦂌	糸封:sf
𦅈	糸彭:sp
𦝷	月屏:op
𦺑	艹毛:cm
𧑑	.:ib｜虫奉:if
𧚭	衤并:yb
𧩱	言屏:yp
𧻓	走并:zb
𨆊	足鼓:zg｜鼓足:gz
𨓁	辶幺:zy
𨕧	.:zj
𨹹	阝朋:ep
𨻱	阝崩:eb
𩂦	雨并:yb
𩊌	革立:gl
𩑚	頁丰:yf｜丰頁:fy
𩗴	風奉:ff
𪔑	鼓石:gu
筆	𥫗聿:vy
拂	扌弗:ff
畢	丨丨:aa
祕	示必:ub
幣	巾敝:jb｜巾攵:jw
閟	門必:mb
柲	木必:mb
肶	月比:ob
偪	亻畐:rf｜亻田:rt
閉	門才:mc
禆	示卑:ub
饆	食畢:ub
啚	口回:kh
皀	白匕:bb
鷩	鳥敝:nb｜.:nw
斃	死敝:sb｜死攵:sw
睥	月卑:ob
闬	门干:mg
弻	弓弓:gg
毴	毛非:mf
痺	疒卑:bb
箆	𥫗比:vb
腷	.:of｜月田:ot
彃	弓畢:gb
鉍	金必:jb
煏	.:hf｜火田:ht
怭	忄必:xb
柀	木皮:mp
湢	.:df｜氵田:dt
獘	犬敝:qb｜.:qw
髲	髟皮:ip｜皮髟:pb
愊	心畐:xf｜心田:xt
楅	木畐:mf｜木田:mt
滭	氵畢:db
粃	米比:mb
纰	纟比:sb
嗶	口畢:kb
夶	大大:dd
奰	大罒:ds｜罒大:sd
梐	.:mt
畐	一田:at
疕	疒匕:bb
疪	疒比:bb
繴	糸辟:sb｜糸辛:sx
聛	耳卑:eb
蜌	虫坒:ib｜虫土:it
貏	豸卑:vb
蹕	足畢:zb
鶝	.:nf｜鳥田:nt
堛	土畐:tf｜土田:tt
妼	女必:nb
潷	氵筆:db
熚	火畢:hb
綼	糸卑:sb
鎞	金比:jb
鏎	金畢:jb
鐴	.:jb｜.:jx
飶	食必:ub
㓖	冫畢:db
㗉	.:qg
㗊	吕吕:ll
㘠	.:wb
㘩	土比:tb
㙄	土坒:tb
㚕	大弗:df
㚰	女丕:np
㠲	巾匕:jb
㡀	.:dd
㡙	.:jp
㢰	弓皮:gp
㢶	弓百:gb
㢸	弓攵:gw
㧙	扌必:fb
㪏	.:wb
㪤	.:wb
㮰	.:mp
㮿	木畢:mb
㯇	.:mf
㱸	.:db
㳼	水或:uh
㵥	氵皿:dm
㵨	.:ub
㹃	牛非:nf
㻫	王畢:wb
㻶	王筆:wb
㿫	皮比:pb
䀣	目必:ob
䁹	.:ob
䃾	示比:ub
䄶	禾弗:hf
䇷	𥫗别:vb
䉾	米北:mb
䊧	米費:mf
䋔	糸丕:sp
䌟	.:sb
䎵	耳必:eb
䏢	月皮:op
䏶	月坒:ob
䕗	艹鼻:cb
䖩	虫必:ib
䘡	衣比:yb
䟆	走畢:zb
䟤	足必:zb
䠋	足卑:zb
䣥	酉匕:yb
䦘	門艮:mg
䧗	耳复:ef
䨆	隹敝:vb
䩛	革必:gb
䪐	韋必:wb
䫁	頁自:yz
䫾	風必:fb
䬛	風畢:fb
䭮	.:ub
䮡	馬复:mf
䯗	骨坒:gb
䵄	.:ml
佊	亻皮:rp
娝	女否:nf
嬶	女鼻:nb
崥	山卑:ub
幤	巾敞:ji｜.:jw
廦	.:gb｜.:gx
怶	忄皮:xp
旇	方皮:fp
朇	會卑:hb
朼	木匕:mb
榌	木飛:mf
毞	毛比:mb
獙	犭敝:qb｜.:qw
畁	由丌:yq
睤	目畀:ob｜.:oq
稫	.:hf｜禾田:ht
笓	𥫗比:vb
篳	竹畢:vb
粊	米比:mb
紕	糸比:sb
紴	糸皮:sp
縪	糸畢:sb
罼	罒畢:sb
翍	羽皮:yp
胇	月弗:of
萞	艹比:cb
蓽	艹畢:cb
螕	虫比:ib
袐	衤必:yb
襅	衤畢:yb
襣	衤鼻:yb
詖	言皮:yp
豍	豆卑:db
貱	貝皮:bp
贔	貝貝:bb
躃	.:zb｜.:zx
躄	足辟:zb｜足辛:zx
鄨	.:bk｜邑敝:yb｜.:yw
鄪	耳費:ef
閇	門下:mx
閈	門干:mg
鞸	革畢:gb
韠	韋畢:wb
駜	馬必:mb
驆	馬畢:mb
魓	鬼畢:gb
鮅	魚必:yb
鰏	魚畐:yf｜魚田:yt
鵖	鳥艮:ng
鷝	鳥畢:nb
鼊	.:mb｜.:mx｜.:zh
𠈺	亻坒:rb
𠋯	亻舀:ry
𠓷	入爽:ru
𠛡	.:db
𠡂	力弗:lf
𠦈	十井:uj｜井十:ju
𠧅	咼卑:gb
𠨘	卩必:eb｜必卩:be
𠩿	厂畢:ib
𠬈	去卑:qb
𠮃	.:yb
𠽩	口筆:kb
𡚁	敝大:bd
𡛗	女比:nb
𡠚	女畢:nb
𡳄	.:ub｜尸回:uh
𡻞	山畢:ub
𡽶	山鼻:ub
𢁽	巾必:jb
𢅩	巾罷:jb
𢍁	由廾:yc
𢐦	.:gb｜弓辟:gp｜辟弓:pg
𢖬	心匕:xb｜.:xh
𢘍	心弗:xf｜弗心:fx
𢞗	.:xp｜心比:xb
𢟵	.:xf
𢡅	心棐:xf
𢩒	户肥:hf
𢲾	扌閉:fb
𢳋	扌庳:fb
𢴩	扌筆:fb
