0	0 0⃣️
五点半	五点半 🕠
五点钟	五点钟 🕔
五角星	五角星 ⭐️
五點	五點 🕔
五點半	五點半 🕠
五點鐘	五點鐘 🕔
亚洲	亚洲 🌏
亚洲澳洲	亚洲澳洲 🌏
亚美尼亚	亚美尼亚 🇦🇲
亞塞拜然	亞塞拜然 🇦🇿
亞洲	亞洲 🌏
亞洲澳洲	亞洲澳洲 🌏
亞美尼亞	亞美尼亞 🇦🇲
交通	交通 🚨 🚧 🚥 🚦 🚣 🚤 🚢 ⛵️ 🚚 🚘 🚖 🚔 🚙 🚕 🚓 🚒 🚑 🚏 🚀 🚁 🚜 🚐 🚌 🚎 🚍 🚂 🚡 🚠 🚟 🚞 🚝 🚉 🚊 🚇 🚅 🚈 🚄 🚃 💺 🚶 🚴 🚲 🚗 ✈️
交通号志	交通号志 🚦 🚥
交通工具	交通工具 🚌 🚄
交通标志	交通标志 🚧 🚥
交通標誌	交通標誌 🚧 🚥
交通灯	交通灯 🚦 🚥
交通燈	交通燈 🚦 🚥
交通號誌	交通號誌 🚦 🚥
亮晶晶	亮晶晶 ✨
亲一口	亲一口 😽 💋 😚
亲亲	亲亲 😽 😚 😘
亲吻	亲吻 👨‍❤️‍💋‍👨 👩‍❤️‍💋‍👩 💏 😚
亲嘴	亲嘴 💋
亲昵	亲昵 😽
仓鼠	仓鼠 🐹
仓鼠脸	仓鼠脸 🐹
仕女帽	仕女帽 👒
仙人掌	仙人掌 🌵
仙女棒	仙女棒 🎇
以色列	以色列 🇮🇱
企鵝	企鵝 🐧
企鹅	企鹅 🐧
伊拉克	伊拉克 🇮🇶
伊朗	伊朗 🇮🇷
休息	休息 ♨️
休息区	休息区 ⛽️
休息區	休息區 ⛽️
休旅車	休旅車 🚙
休旅车	休旅车 🚙
休閒裝	休閒裝 👕
休閒車	休閒車 🚙
休閒鞋	休閒鞋 👟
休闲装	休闲装 👕
休闲车	休闲车 🚙
休闲鞋	休闲鞋 👟
传呼机	传呼机 📟
传声筒	传声筒 📣
传情	传情 😘
传播	传播 📣
传真	传真 📠
传真机	传真机 📠
伤心	伤心 😿 😣 💔
伯利兹	伯利兹 🇧🇿
低落	低落 🙍 😞
住宅	住宅 🏡 🏠
住宅楼	住宅楼 🏠
住宅樓	住宅樓 🏠
住家	住家 🏡 🏠
佛得角	佛得角 🇨🇻
使眼色	使眼色 😜 😉
來信	來信 📨
便便	便便 💩
便利商店	便利商店 🏪
便利店	便利店 🏪
便当	便当 🍱
便當	便當 🍱
俄国	俄国 🇷🇺 🇷🇺
俄国国旗	俄国国旗 🇷🇺
俄國	俄國 🇷🇺 🇷🇺
俄國國旗	俄國國旗 🇷🇺
俄罗斯	俄罗斯 🇷🇺
俄羅斯	俄羅斯 🇷🇺
保加利亚	保加利亚 🇧🇬
保加利亞	保加利亞 🇧🇬
保齡球	保齡球 🎳
保龄球	保龄球 🎳
信件	信件 ✉️
信号	信号 📶
信号灯	信号灯 🚦 🚥
信号状况	信号状况 📶
信封	信封 ✉️
信息	信息 ℹ️ 🔊 📼 📻 📺 📹 📷 📶 📴 📳 📲 📱 📰 📮 📫 📩 📣 📢 📡 📠 📝 📀 💿 💾 💽 💼 💻
信用卡	信用卡 💳
信箱	信箱 📫 📪
信號	信號 📶
信號燈	信號燈 🚦 🚥
信號狀況	信號狀況 📶
修理	修理 🔧
倉鼠	倉鼠 🐹
倉鼠臉	倉鼠臉 🐹
個人	個人 👤
倒霉	倒霉 😓
假笑	假笑 😏
做实验	做实验 🔬
做實驗	做實驗 🔬
做礼拜	做礼拜 ⛪️
做禮拜	做禮拜 ⛪️
做鬼脸	做鬼脸 😜
做鬼臉	做鬼臉 😜
停止	停止 🙌
停車	停車 🅿️
停車場	停車場 🅿️
停车	停车 🅿️
停车场	停车场 🅿️
偷笑	偷笑 😏
傍晚	傍晚 🌆
備忘	備忘 📝
備忘錄	備忘錄 📕
储放行李	储放行李 🛅
傳呼機	傳呼機 📟
傳情	傳情 😘
傳播	傳播 📣
傳真	傳真 📠
傳真機	傳真機 📠
傳聲筒	傳聲筒 📣
傷心	傷心 😿 😣 💔
傻笑	傻笑 😆
儲放行李	儲放行李 🛅
儿子	儿子 👦
允許	允許 ✅
允许	允许 ✅
兄弟	兄弟 👬
兄弟情深	兄弟情深 👨‍❤️‍👨
光盘	光盘 📀 💿
光盤	光盤 📀 💿
光碟	光碟 📀 💿 💽
克罗地亚	克罗地亚 🇭🇷
克羅埃西亞	克羅埃西亞 🇭🇷
免費	免費 🆓
免费	免费 🆓
兒子	兒子 👦
兔	兔 🐰
兔女郎	兔女郎 👯
兔子	兔子 🐇 🐰
兔子脸	兔子脸 🐰
兔子臉	兔子臉 🐰
兔脸	兔脸 🐰
兔臉	兔臉 🐰
入场券	入场券 🎫
入場券	入場券 🎫
兩顆心	兩顆心 💕
兩點	兩點 🕑
兩點鐘	兩點鐘 🕑
八	八 8⃣️
八点	八点 🕗
八点半	八点半 🕣
八点钟	八点钟 🕗
八爪魚	八爪魚 🐙
八爪鱼	八爪鱼 🐙
八角星	八角星 ✴️
八點	八點 🕗
八點半	八點半 🕣
八點鐘	八點鐘 🕗
公主	公主 👸
公事包	公事包 💼
公交	公交 🚌
公交車	公交車 🚌
公交车	公交车 🚌
公共小巴	公共小巴 🚐
公共汽車	公共汽車 🚎 🚐 🚍 🚌
公共汽車站	公共汽車站 🚏
公共汽车	公共汽车 🚎 🚐 🚍 🚌
公共汽车站	公共汽车站 🚏
公园	公园 ⛲️
公園	公園 ⛲️
公文包	公文包 💼
公牛	公牛 🐂
公猪	公猪 🐗
公羊	公羊 🐏
公豬	公豬 🐗
公車	公車 🚎 🚐 🚍 🚌
公車站	公車站 🚏
公车	公车 🚎 🚐 🚍 🚌
公车站	公车站 🚏
公雞	公雞 🐓
公鸡	公鸡 🐓
六	六 6⃣️
六点	六点 🕕
六点半	六点半 🕡
六点钟	六点钟 🕕
六芒星	六芒星 🔯
六角星	六角星 🔯
六點	六點 🕕
六點半	六點半 🕡
六點鐘	六點鐘 🕕
关东煮	关东煮 🍢
关岛	关岛 🇬🇺
关机	关机 📴
关机模式	关机模式 📴
冈比亚	冈比亚 🇬🇲
再見	再見 👋
再见	再见 👋
冒冷汗	冒冷汗 😰 😅
写作	写作 ✏️
写信	写信 ✉️
冠军	冠军 🏆
冠軍	冠軍 🏆
冰岛	冰岛 🇮🇸
冰島	冰島 🇮🇸
冰淇淋	冰淇淋 🍨 🍦
冰激凌	冰激凌 🍨 🍦
冲凉	冲凉 🚿
冲浪	冲浪 🏄 🏄
冲澡	冲澡 🚿
冷汗	冷汗 😅 😰 😓
冷漠	冷漠 😒
冷笑	冷笑 😏
冷飲	冷飲 🍹
冷饮	冷饮 🍹
准許	准許 🙆
准许	准许 🙆
凉鞋	凉鞋 👡
减	减 ➖
减号	减号 ➖
减速	减速 ⏪
几内亚	几内亚 🇬🇳
几内亚比绍	几内亚比绍 🇬🇼
凤梨	凤梨 🍍
出海	出海 🚢
出生	出生 🐣
出租車	出租車 🚖 🚕
出租车	出租车 🚖 🚕
击掌	击掌 ✋
刀叉	刀叉 🍴
切换输入	切换输入 🔤
切換輸入	切換輸入 🔤
划船	划船 🚣
划艇	划艇 🚣
列支敦士登	列支敦士登 🇱🇮
列支敦斯登	列支敦斯登 🇱🇮
列表循环	列表循环 🔄
列表循環	列表循環 🔄
刚果共和国	刚果共和国 🇨🇬
刚果民主共和国	刚果民主共和国 🇨🇩
初心者	初心者 🔰
刨冰	刨冰 🍧
利比亚	利比亚 🇱🇾
利比亞	利比亞 🇱🇾
利比里亚	利比里亚 🇱🇷
剃头	剃头 💇
剃頭	剃頭 💇
剛果共和國	剛果共和國 🇨🇬
剛果民主共和國	剛果民主共和國 🇨🇩
剪刀	剪刀 ✌️ ✂️
剪切板	剪切板 📋
剪发	剪发 💇
剪子	剪子 ✂️
剪貼板	剪貼板 📋
剪贴板	剪贴板 📋
剪髮	剪髮 💇
割	割 🈹
办公大楼	办公大楼 🏢
办公楼	办公楼 🏢
加	加 ➕
加号	加号 ➕
加密	加密 🔐
加彭	加彭 🇬🇦
加拿大	加拿大 🇨🇦
加油	加油 📣 ⛽️
加油站	加油站 ⛽️
加纳	加纳 🇬🇭
加蓬	加蓬 🇬🇦
加號	加號 ➕
加速	加速 ⏩
动物	动物 🐪 🐖 🐕 🐓 🐐 🐏 🐋 🐊 🐉 🐈 🐇 🐆 🐅 🐄 🐃 🐂 🐁 🐀 🐌 🐢 🐡 🐠 🐟 🐞 🐝 🐜 🐛 🐍 🐚 🐙 🐾 🐬 🐫 🐩 🐨 🐧 🐦 🐥 🐣 🐗 🐑 🐎 🐘 🐔 🐽 🐼 🐻 🐺 🐹 🐸 🐷 🐶 🐵 🐴 🐳 🐲 🐰 🐯 🐮 🐭 🐤 🐱 🐒
动物表情	动物表情 🐸 🐮
动物足印	动物足印 🐾
動物	動物 🐪 🐖 🐕 🐓 🐐 🐏 🐋 🐊 🐉 🐈 🐇 🐆 🐅 🐄 🐃 🐂 🐁 🐀 🐌 🐢 🐡 🐠 🐟 🐞 🐝 🐜 🐛 🐍 🐚 🐙 🐾 🐬 🐫 🐩 🐨 🐧 🐦 🐥 🐣 🐗 🐑 🐎 🐘 🐔 🐽 🐼 🐻 🐺 🐹 🐸 🐷 🐶 🐵 🐴 🐳 🐲 🐰 🐯 🐮 🐭 🐤 🐱 🐒
動物表情	動物表情 🐸 🐮
動物足印	動物足印 🐾
勝利	勝利 ✌️
勾选	勾选 ☑️
勾選	勾選 ☑️
勿視	勿視 🙈
勿视	勿视 🙈
包头巾	包头巾 👳
包头巾的男人	包头巾的男人 👳
包裹	包裹 📦
包頭巾	包頭巾 👳
包頭巾的男人	包頭巾的男人 👳
匈牙利	匈牙利 🇭🇺
化妆室	化妆室 🚻
化妝室	化妝室 🚻
北韓	北韓 🇰🇵
北韩	北韩 🇰🇵
北馬里亞納群島	北馬里亞納群島 🇲🇵
北马里亚纳群岛	北马里亚纳群岛 🇲🇵
匹萨饼	匹萨饼 🍕
匹薩餅	匹薩餅 🍕
医疗	医疗 💊 💉
医疗车	医疗车 🚑
医院	医院 🏥
十	十 🔟
十一点	十一点 🕚
十一点半	十一点半 🕦
十一点钟	十一点钟 🕚
十一點	十一點 🕚
十一點半	十一點半 🕦
十一點鐘	十一點鐘 🕚
十二点	十二点 🕛
十二点半	十二点半 🕧
十二点钟	十二点钟 🕛
十二點	十二點 🕛
十二點半	十二點半 🕧
十二點鐘	十二點鐘 🕛
十八禁	十八禁 🔞
十点	十点 🕙
十点半	十点半 🕥
十点钟	十点钟 🕙
十點	十點 🕙
十點半	十點半 🕥
十點鐘	十點鐘 🕙
千里達及托巴哥	千里達及托巴哥 🇹🇹
半身像	半身像 👤
单人	单人 👤
单峰驼	单峰驼 🐪
单峰骆驼	单峰骆驼 🐪
单曲循环	单曲循环 🔂
单曲播放	单曲播放 🔁
单板滑雪	单板滑雪 🏂
单车	单车 🚲
单轨列车	单轨列车 🚝
单选按钮	单选按钮 🔘
卖萌	卖萌 🐶
南瓜	南瓜 🎃
南瓜灯	南瓜灯 🎃
南瓜灯笼	南瓜灯笼 🎃
南瓜燈	南瓜燈 🎃
南瓜燈籠	南瓜燈籠 🎃
南美探戈	南美探戈 🇦🇷
南苏丹共和国	南苏丹共和国 🇸🇸
南蘇丹共和國	南蘇丹共和國 🇸🇸
南非	南非 🇿🇦
南韓	南韓 🇰🇷
博兹瓦纳	博兹瓦纳 🇧🇼 🇧🇼
占卜	占卜 🔮
卡塔尔	卡塔尔 🇶🇦
卡片索引	卡片索引 📇
卡達	卡達 🇶🇦
卢旺达	卢旺达 🇷🇼
卢森堡	卢森堡 🇱🇺
卫兵	卫兵 💂
卫士	卫士 💂
卫星天线	卫星天线 📡
卫星通讯	卫星通讯 📡
卫生间	卫生间 🚻
印尼	印尼 🇮🇩
印度	印度 🇮🇳
印度尼西亚	印度尼西亚 🇮🇩
危地马拉	危地马拉 🇬🇹
卷宗	卷宗 📜
卷毛狗	卷毛狗 🐩
卷軸	卷軸 📜
卷轴	卷轴 📜
厄利垂亞	厄利垂亞 🇪🇷
厄瓜多尔	厄瓜多尔 🇪🇨
厄立特里亚	厄立特里亚 🇪🇷
厌倦	厌倦 😩
厕所	厕所 🚾 🚽
厭倦	厭倦 😩
友好	友好 👬
友情	友情 👭
双人	双人 👥
双凤之家	双凤之家 👨‍👩‍👧‍👧
双子座	双子座 ♊️
双峰驼	双峰驼 🐫
双弯曲线	双弯曲线 ➿
双惊叹号	双惊叹号 ‼️
双掌	双掌 👐
双簧	双簧 🎭
双蜂骆驼	双蜂骆驼 🐫
双鱼座	双鱼座 ♓️
双龙之家	双龙之家 👨‍👩‍👦‍👦
反对	反对 🙅
反對	反對 🙅
发件箱	发件箱 📤
发件箱托盘	发件箱托盘 📤
发廊	发廊 💈
发言	发言 💬
发言中	发言中 💬
发言气球	发言气球 💬
发送邮件	发送邮件 📩
发邮件	发邮件 📩
取款机	取款机 🏧
取款機	取款機 🏧
叙利亚	叙利亚 🇸🇾
叙利亞	叙利亞 🇸🇾
口紅	口紅 💄
口红	口红 💄
口罩	口罩 😷
古巴	古巴 🇨🇺
可怕	可怕 😱 😨
可愛	可愛 😊 🐶
可拉熊	可拉熊 🐨
可爱	可爱 😊 🐶
台球	台球 🎱
台风	台风 🌀
史瓦濟蘭	史瓦濟蘭 🇸🇿
右	右 ➡️
右上	右上 ↗️
右上箭头	右上箭头 ↗️
右上箭頭	右上箭頭 ↗️
右下	右下 ↘️
右下箭头	右下箭头 ↘️
右下箭頭	右下箭頭 ↘️
右回转	右回转 ↪️
右轉	右轉 ➡️
右转	右转 ➡️
右边	右边 👉
右迴轉	右迴轉 ↪️
右邊	右邊 👉
叶子	叶子 🍃
号角	号角 📯
吃惊	吃惊 😲 😱
吃药	吃药 💊
吃藥	吃藥 💊
吃角子老虎	吃角子老虎 🎰
吃驚	吃驚 😲 😱
合	合 🈴
合掌	合掌 🙏
合格	合格 🈴
吉他	吉他 🎸
吉尔吉斯坦	吉尔吉斯坦 🇰🇬
吉布地	吉布地 🇩🇯
吉布提	吉布提 🇩🇯
吉爾吉斯	吉爾吉斯 🇰🇬
吉里巴斯	吉里巴斯 🇰🇮
同意	同意 🙆
名片制作	名片制作 📇
名片製作	名片製作 📇
名牌	名牌 📛
后退	后退 🔙
吐瓦魯	吐瓦魯 🇹🇻
吐舌头	吐舌头 😋
吐舌頭	吐舌頭 😋
向上	向上 🔼 👆
向上手势	向上手势 👆
向上手勢	向上手勢 👆
向上符号	向上符号 ⏫
向上符號	向上符號 ⏫
向上箭头	向上箭头 ⬆️
向上箭頭	向上箭頭 ⬆️
向上趋势图	向上趋势图 📈
向上趨勢圖	向上趨勢圖 📈
向下	向下 🔽 👇
向下手势	向下手势 👇
向下手勢	向下手勢 👇
向下符号	向下符号 ⏬
向下符號	向下符號 ⏬
向下箭头	向下箭头 ⬇️
向下箭頭	向下箭頭 ⬇️
向下趋势图	向下趋势图 📉
向下趨勢圖	向下趨勢圖 📉
向右	向右 ▶️ 👉
向右回转	向右回转 ↪️
向右手势	向右手势 👉
向右手勢	向右手勢 👉
向右符号	向右符号 ⏩
向右符號	向右符號 ⏩
向右箭头	向右箭头 ➡️
向右箭頭	向右箭頭 ➡️
向右迴轉	向右迴轉 ↪️
向左	向左 ◀️ 👈
向左回转	向左回转 ↩️
向左手势	向左手势 👈
向左手勢	向左手勢 👈
向左符号	向左符号 ⏪
向左符號	向左符號 ⏪
向左箭头	向左箭头 ⬅️
向左箭頭	向左箭頭 ⬅️
向左迴轉	向左迴轉 ↩️
向日葵	向日葵 🌻
否决	否决 🙅
否決	否決 🙅
听	听 👂
听不到	听不到 🙉
听广播	听广播 📻
听筒	听筒 📞
启用	启用 🔛
吸烟	吸烟 🚬
吸烟区	吸烟区 🚬
吸煙	吸煙 🚬
吸煙區	吸煙區 🚬
呆然	呆然 😐
呵呵	呵呵 😄
呼救	呼救 🆘
呼机	呼机 📟
呼機	呼機 📟
命中	命中 🎯
和服	和服 👘
和諧號	和諧號 🚅
和谐号	和谐号 🚅
咖哩飯	咖哩飯 🍛
咖哩饭	咖哩饭 🍛
咖啡	咖啡 ☕️
咖喱飯	咖喱飯 🍛
咖喱饭	咖喱饭 🍛
咲	咲 😄 😊
哈哈	哈哈 😄
哈哈哈	哈哈哈 😄
哈哈哈哈	哈哈哈哈 😄
哈密瓜	哈密瓜 🍈
哈萨克	哈萨克 🇰🇿
哈萨克斯坦	哈萨克斯坦 🇰🇿
哈薩克	哈薩克 🇰🇿
哈薩克斯坦	哈薩克斯坦 🇰🇿
响铃	响铃 🔔
哥伦比亚	哥伦比亚 🇨🇴
哥倫比亞	哥倫比亞 🇨🇴
哥斯大黎加	哥斯大黎加 🇨🇷
哥斯达黎加	哥斯达黎加 🇨🇷
哭	哭 😭 😢
哭泣	哭泣 😿 😭 😢
哭笑	哭笑 😂
唇印	唇印 💋
唔得	唔得 🙅
唱歌	唱歌 🎤
唱歌符号	唱歌符号 〽️
唱歌符號	唱歌符號 〽️
商务	商务 💼 📙 📘 📗 💱 🔃 ☎️ 📟 📞 📭 📬 📪 📂 📁 📨 📧 ✉️ 📥 📤 📜 📛 📚 📖 📕 📔 📓 📒 📑 📐 📏 📎 📍 📌 📋 📊 📉 📇 📆 📄 📃 📈 📅
商務	商務 💼 📙 📘 📗 💱 🔃 ☎️ 📟 📞 📭 📬 📪 📂 📁 📨 📧 ✉️ 📥 📤 📜 📛 📚 📖 📕 📔 📓 📒 📑 📐 📏 📎 📍 📌 📋 📊 📉 📇 📆 📄 📃 📈 📅
商标	商标 ™️
商標	商標 ™️
問號	問號 ❔ ❓
啜泣	啜泣 😢
啟用	啟用 🔛
啤酒	啤酒 🍻 🍺
啤酒杯	啤酒杯 🍻 🍺
啦啦队	啦啦队 📣
啦啦隊	啦啦隊 📣
喀麥隆	喀麥隆 🇨🇲
喀麦隆	喀麦隆 🇨🇲
喂奶	喂奶 🍼
喇叭	喇叭 📣 📢 🎺
喜极而泣	喜极而泣 😂 😹
喜極而泣	喜極而泣 😂 😹
喜欢	喜欢 😻 💓 😍
喜歡	喜歡 😻 💓 😍
喝咖啡	喝咖啡 ☕️
喬治亞共和國	喬治亞共和國 🇬🇪
單人	單人 👤
單峰駝	單峰駝 🐪
單峰駱駝	單峰駱駝 🐪
單曲循環	單曲循環 🔂
單曲播放	單曲播放 🔁
單板滑雪	單板滑雪 🏂
單車	單車 🚲
單軌列車	單軌列車 🚝
單選按鈕	單選按鈕 🔘
喷水	喷水 🐳
喷水池	喷水池 ⛲️
喷水鲸鱼	喷水鲸鱼 🐳
喷泉	喷泉 ⛲️
嗤笑	嗤笑 😏
嘗	嘗 👅
嘟嘴	嘟嘴 🙎 😚
嘲弄	嘲弄 😝
嘲笑	嘲笑 😝
嘲諷	嘲諷 👎
嘲讽	嘲讽 👎
嘴	嘴 👄
嘴巴	嘴巴 👄
嘴角上扬	嘴角上扬 😏
嘴角上揚	嘴角上揚 😏
嘴饞	嘴饞 😋
嘴馋	嘴馋 😋
嘻嘻	嘻嘻 😄 😁
噘嘴	噘嘴 😾 😡 😠
器官	器官 👣 👅 👄 👃 👂 👀
噴水	噴水 🐳
噴水池	噴水池 ⛲️
噴水鯨魚	噴水鯨魚 🐳
噴泉	噴泉 ⛲️
嚴肅	嚴肅 😠
四	四 4⃣️
四叶草	四叶草 🍀
四点	四点 🕓
四点半	四点半 🕟
四点钟	四点钟 🕓
四葉草	四葉草 🍀
四點	四點 🕓
四點半	四點半 🕟
四點鐘	四點鐘 🕓
回形針	回形針 📎
回形针	回形针 📎
回收	回收 ♻️
回纹针	回纹针 📎
团子	团子 🍡 🍡
囧	囧 😳
困倦	困倦 🙀 😪
困惑	困惑 😖
图瓦卢	图瓦卢 🇹🇻
图表	图表 📉 📈
图钉	图钉 📌
圆图钉	圆图钉 📍
圆圈	圆圈 ⭕️
圆形按钮	圆形按钮 🔘
圆领衫	圆领衫 👕
圓圈	圓圈 ⭕️
圓圖釘	圓圖釘 📍
圓形按鈕	圓形按鈕 🔘
圓領衫	圓領衫 👕
圖表	圖表 📉 📈
圖釘	圖釘 📌
團子	團子 🍡
土克斯及開科斯群島	土克斯及開科斯群島 🇹🇨
土库曼斯坦	土库曼斯坦 🇹🇲
土庫曼	土庫曼 🇹🇲
土耳其	土耳其 🇹🇷
圣卢西亚	圣卢西亚 🇱🇨
圣基茨和尼维斯	圣基茨和尼维斯 🇰🇳
圣堂	圣堂 ⛪️
圣多美和普林西比	圣多美和普林西比 🇸🇹
圣文森特	圣文森特 🇻🇨
圣诞树	圣诞树 🎄
圣诞老人	圣诞老人 🎅
圣诞节	圣诞节 🎄
圣马力诺	圣马力诺 🇸🇲
圭亚那	圭亚那 🇬🇾
地球	地球 🌐 🌎 🌏 🌍
地瓜	地瓜 🍠
地鐵	地鐵 Ⓜ️ 🚈 🚇
地铁	地铁 Ⓜ️ 🚈 🚇
坚忍	坚忍 😣
坚果	坚果 🌰
坦尚尼亞	坦尚尼亞 🇹🇿
坦桑尼亚	坦桑尼亚 🇹🇿
垃圾入篓	垃圾入篓 🚮
垃圾入簍	垃圾入簍 🚮
垃圾桶	垃圾桶 🚮
埃及	埃及 🇪🇬
埃塞俄比亚	埃塞俄比亚 🇪🇹
城堡	城堡 🏰 🏯
基里巴斯	基里巴斯 🇰🇮
堅忍	堅忍 😣
堅果	堅果 🌰
報刊	報刊 📰
報紙	報紙 📰
報警	報警 🚔
塔吉克	塔吉克 🇹🇯
塔吉克斯坦	塔吉克斯坦 🇹🇯
塞内加尔	塞内加尔 🇸🇳
塞内加爾	塞内加爾 🇸🇳
塞尔维亚	塞尔维亚 🇷🇸
塞席爾	塞席爾 🇸🇨
塞拉利昂	塞拉利昂 🇸🇱
塞浦路斯	塞浦路斯 🇨🇾
塞爾維亞	塞爾維亞 🇷🇸
塞舌尔	塞舌尔 🇸🇨
墨西哥	墨西哥 🇲🇽
墨鏡	墨鏡 😎
墨镜	墨镜 😎
士多店	士多店 🏪
声音	声音 🔊
壽司	壽司 🍣
处女座	处女座 ♍️
备忘	备忘 📝
备忘录	备忘录 📕
夕阳	夕阳 🌆 🌇
夕陽	夕陽 🌆 🌇
外星人	外星人 👽
多云	多云 ⛅️ ☁️
多人	多人 👥
多哥	多哥 🇹🇬
多明尼加共和國	多明尼加共和國 🇩🇴
多米尼克	多米尼克 🇩🇲
多米尼加共和国	多米尼加共和国 🇩🇴
多雲	多雲 ⛅️ ☁️
夜景	夜景 🌉 🌃
大不列顛	大不列顛 🇬🇧
大不列颠	大不列颠 🇬🇧
大便	大便 💩
大写字母	大写字母 🔠
大哭	大哭 😭
